ID			Imag	Vmag	Period		Iamp	[Fe/H]		R21	R31	Phi21	Phi31	
OGLE-BLG-RRLYR-00510   16.95200   18.61200    0.53784    0.35300    0.14654    0.50561    0.27162    5.00600    7.19059
OGLE-BLG-RRLYR-00512   16.63100   18.21300    0.52641    0.54300   -0.94441    0.45407    0.25868    4.36600    5.79859
OGLE-BLG-RRLYR-00514   16.20600   18.04400    0.58396    0.40700   -0.78901    0.45835    0.26823    4.63300    6.32959
OGLE-BLG-RRLYR-00515   16.45600   18.28900    0.57753    0.44700   -1.00713    0.45150    0.24308    4.48700    6.02659
OGLE-BLG-RRLYR-00517   16.09500   17.74900    0.63625    0.22500   -0.80717    0.33406    0.16031    4.70400    6.61859
OGLE-BLG-RRLYR-00520   16.23700   17.93500    0.56810    0.55400   -1.43965    0.42661    0.29314    4.20400    5.44559
OGLE-BLG-RRLYR-00523   16.91100   18.82500    0.46795    0.60400   -0.92237    0.46987    0.32248    4.14700    5.47759
OGLE-BLG-RRLYR-00525   16.57900   18.57200    0.60618    0.34500   -0.75702    0.42762    0.24198    4.72100    6.50059
OGLE-BLG-RRLYR-00526   17.85800   19.89300    0.57034    0.37600   -1.13175    0.44167    0.22199    4.46800    5.83259
OGLE-BLG-RRLYR-00530   17.20100   19.13900    0.51050    0.60300   -1.00239    0.46994    0.30692    4.24000    5.63359
OGLE-BLG-RRLYR-00531   16.57600   18.42600    0.54479    0.48800   -0.96200    0.45544    0.26597    4.43900    5.88659
OGLE-BLG-RRLYR-00535   16.69100   18.75900    0.53576    0.59200   -0.99930    0.52384    0.34618    4.32400    5.78759
OGLE-BLG-RRLYR-00536   16.84900   18.73200    0.47730    0.84300   -0.95831    0.50585    0.38033    4.18100    5.48959
OGLE-BLG-RRLYR-00537   16.89400   18.79500    0.51035    0.71600   -1.06920    0.50882    0.37019    4.18300    5.55159
OGLE-BLG-RRLYR-00538   16.59400   18.58400    0.52165    0.28300   -0.23139    0.39787    0.18811    4.79900    6.63559
OGLE-BLG-RRLYR-00540   16.91400   18.96200    0.43690    0.87200   -1.03384    0.49290    0.37311    4.04400    5.15759
OGLE-BLG-RRLYR-00544   16.68300   18.47400    0.56684    0.86100   -1.44256    0.55586    0.32307    4.22900    5.43459
OGLE-BLG-RRLYR-00545   16.84800   18.75500    0.43289    0.84700   -0.54532    0.56722    0.38341    4.28300    5.72659
OGLE-BLG-RRLYR-00547   16.59000   18.57100    0.61908    0.16600   -0.53843    0.26871    0.08295    4.80200    6.84259
OGLE-BLG-RRLYR-00550   16.73400   18.61700    0.62589    0.29600   -0.77533    0.39414    0.18886    4.79300    6.59559
OGLE-BLG-RRLYR-00557   17.01000   18.98000    0.43652    0.67400   -0.82678    0.48442    0.24471    4.17000    5.40659
OGLE-BLG-RRLYR-00559   16.41000   18.37000    0.62331    0.12600   -0.85335    0.22503    0.05636    4.83800    6.48559
OGLE-BLG-RRLYR-00560   15.23800   17.13600    0.46132    0.12300   -0.86348    0.43874    0.23583    4.15300    5.50959
OGLE-BLG-RRLYR-00572   18.20200   20.15100    0.58358    0.27200   -1.30377    0.47204    0.32471    4.27300    5.70259
OGLE-BLG-RRLYR-00574   16.75000   18.62300    0.44581    0.84300   -1.02064    0.50021    0.36929    4.07600    5.22659
OGLE-BLG-RRLYR-00575   16.09900   17.57200    0.56627    0.47500   -0.86377    0.49647    0.31966    4.49300    6.13359
OGLE-BLG-RRLYR-00578   16.63500   18.28700    0.47407    0.56800   -1.03723    0.40007    0.19205    4.20000    5.37459
OGLE-BLG-RRLYR-00581   16.88900   18.71500    0.47208    0.65600   -1.03409    0.44351    0.28933    4.19000    5.36659
OGLE-BLG-RRLYR-00583   17.29000   19.37900    0.48067    0.60300   -0.49525    0.54802    0.33227    4.53400    6.07159
OGLE-BLG-RRLYR-00591   17.31700   18.57100    0.36630    0.78800   -0.53860    0.55199    0.32907    4.24600    5.33859
OGLE-BLG-RRLYR-00592   17.15700   19.19300    0.41517    0.27000    0.34991    0.26353    0.07450    4.78400    6.70759
OGLE-BLG-RRLYR-00594   16.64800   18.72800    0.55042    0.78900   -1.16347    0.54354    0.35740    4.26500    5.67559
OGLE-BLG-RRLYR-00595   16.76400   18.83700    0.28183    0.26500   -0.00176    0.38339    0.16209    4.45000    5.48759
